Numero;Año ;Provincia;Cantón;Parroquia;Nombre comercial;Clasificación;Categoría;Tipología ;Registro;Número de habitaciones;Número de plazas;Latitud;Longitud
209;2019;Loja;Saraguro;Saraguro;La Parada;Restaurante;Segunda;Planta turística;Ministerio del Interior;4;16;-3622535;-79238497
210;2019;Loja;Saraguro;Saraguro;Asadero Pukuy;Restaurante;Tercera;Planta turística;Ministerio del Interior;4;16;-3622535;-79238497
211;2019;Loja;Saraguro;Lluzhapa;Comedor Julia;Restaurante;Segunda;Planta turística;Ministerio del Interior;5;20;-3494167;-79337083
212;2019;Loja;Saraguro;Tablón;Restaurante Jhoanita;Restaurante;Tercera;Planta turística;Ministerio del Interior;4;16;-3479790;-79169391
213;2019;Loja;Saraguro;Saraguro;La Casa del Café;Cafetería;Tercera;Planta turística;Ministerio del Interior;4;16;-3622535;-79238497
214;2019;Loja;Saraguro;Urdaneta;Restaurante Stefania;Restaurante;Tercera;Planta turística;Ministerio del Interior;4;16;-3604526;-79211285
215;2019;Loja;Saraguro;Saraguro;A Papiar;Fuente de Soda;Tercera;Planta turística;Ministerio del Interior;2;8;-3622535;-79238497
216;2019;Loja;Saraguro;Saraguro;Agachaditos Cri Cri;Restaurante;Tercera;Planta turística;Ministerio del Interior;3;12;-3622535;-79238497
217;2019;Loja;Saraguro;Saraguro;Hospedaje Comunitario Pucara;Pensión;Tercera;Planta turística;Ministerio del Interior;2;3;-3622535;-79238497
218;2019;Loja;Saraguro;Saraguro;Centro Turístico Inti Wasi;Hostal Residencia;Segunda;Planta turística;Ministerio del Interior;5;11;-3626917;-79244750
219;2019;Loja;Saraguro;Saraguro;Nukanchi Sara Allpa;Hostal Residencia;Segunda;Planta turística;Ministerio del Interior;12;20;-3622535;-79238497
220;2019;Loja;Saraguro;Saraguro;Runa Wasi;Pensión;Cuarta;Planta turística;Ministerio del Interior;2;4;-3622535;-79238497
221;2019;Loja;Saraguro;Saraguro;Punky Kay;Hostal Residencia;Cuarta;Planta turística;Ministerio del Interior;2;5;-3614056;-79249083
222;2019;Loja;Saraguro;Saraguro;Pakari Tambo;Hostal Residencia;Tercera;Planta turística;Ministerio del Interior;6;18;-3626417;-79226111
223;2019;Loja;Saraguro;Manú;Casa Refugio Cerro de Arcos;Pensión;Tercera;Planta turística;Ministerio del Interior;3;12;-3486366;-79410350
224;2019;Loja;Saraguro;Saraguro;Tupay;Restaurante;Tercera;Planta turística;Ministerio del Interior;3;12;-3622778;-79238861
225;2019;Loja;Saraguro;Saraguro;El Broster de la ''Guardia'';Restaurante;Segunda;Planta turística;Ministerio del Interior;3;12;-3622535;-79238497
226;2019;Loja;Saraguro;Saraguro;Rikury;Restaurante;Tercera;Planta turística;Ministerio del Interior;4;16;-3623722;-79238278
227;2019;Loja;Saraguro;Saraguro;Crazy Chicken;Restaurante;Segunda;Planta turística;Ministerio del Interior;4;16;-3623778;-79238694
228;2019;Loja;Saraguro;Saraguro;La Guardia;Restaurante;Cuarta;Planta turística;Ministerio del Interior;6;24;-3465972;-79159500
229;2019;Loja;Saraguro;Saraguro;Quesos Saraguros;Restaurante;Cuarta;Planta turística;Ministerio del Interior;6;24;-3647977;-79254446
230;2019;Loja;Saraguro;Saraguro;Mi Casa Restaurante;Restaurante;Tercera;Planta turística;Ministerio del Interior;4;16;-3622535;-79238497
231;2019;Loja;Saraguro;Celén;Restaurante Cristo del Consuelo;Restaurante;Segunda;Planta turística;Ministerio del Interior;5;20;-3601400;-79339845
232;2019;Loja;Saraguro;Celén;Comedor Reina del Transito;Restaurante;Tercera;Planta turística;Ministerio del Interior;4;13;-3601400;-79339845
233;2019;Loja;Saraguro;Saraguro;Fuente de Soda;Fuente de Soda;Segunda;Planta turística;Ministerio del Interior;4;16;-3622535;-79238497
234;2019;Loja;Saraguro;Manú;Restaurante Pica y Pasa;Restaurante;Tercera;Planta turística;Ministerio del Interior;5;20;-3486806;-79410222
235;2019;Loja;Saraguro;Manú;Restaurante Pollos a la Titiaña;Restaurante;Tercera;Planta turística;Ministerio del Interior;4;16;-3486366;-79410350
236;2019;Loja;Saraguro;Tablón;Hacienda La Potranca;Cafetería;Tercera;Planta turística;Ministerio del Interior;5;20;-3479194;-79170472
237;2019;Loja;Saraguro;Saraguro;Saraguros Travel;Operadora Turística;Operador Turístico;Planta turística;Ministerio del Interior;;;-3622972;-79238278
238;2019;Loja;Saraguro;Selva Alegre;Posada;Posada;Segunda;Planta turística;ND;5;15;-3551495;-79345265
239;2019;Loja;Saraguro;Manú;Posada;Posada;Segunda;Planta turística;ND;2;3;-3486366;-79410350
240;2019;Loja;Saraguro;Manú;Posada;Posada;Tercera;Planta turística;ND;1;4;-3486366;-79410350
241;2019;Loja;Saraguro;Saraguro;Pizzamania;Fuente de Soda;Tercera;Planta turística;ND;4;16;-3622535;-79238497
242;2019;Loja;Saraguro;Yuluc;Comercial Saca;Fuente de Soda;Tercera;Planta turística;ND;1;6;-3370575;-79438424
243;2019;Loja;Saraguro;Yuluc;Comedor Carlita;Comedor;Tercera;Planta turística;ND;6;30;-3370575;-79438424
244;2019;Loja;Saraguro;Sumaypamba;Comedor Elenita;Comedor;Tercera;Planta turística;ND;2;12;-3347686;-79335261
245;2019;Loja;Saraguro;Lluzhapa;Comedor Bachita;Comedor;Tercera;Planta turística;ND;5;20;-3494167;-79337083
246;2019;Loja;Loja;Vilcabamba ;Cabañas Rio Yambala;Refugio;Única;Planta turística;Ministerio de Turismo ;5;13;-4,273006;-79,194622
247;2019;Loja;Loja;Vilcabamba ;Vilcabamba;Hostería;Primera;Planta turística;Ministerio de Turismo ;23;50;-4,251331;-79,225237
248;2019;Loja;Loja;Vilcabamba ;Garden House;Casa de huéspedes;Única;Planta turística;Ministerio de Turismo ;10;17;-4,261865;-79,220033
249;2019;Loja;Loja;Vilcabamba ;El Descanso de Ramses;Hostería;3 estrellas;Planta turística;Ministerio de Turismo ;16;36;-4,259835;-79,221029
250;2019;Loja;Loja;Vilcabamba ;El Descanso del Toro;Hostería;5 estrellas;Planta turística;Ministerio de Turismo ;21;52;-4,261306;-79,216299
251;2019;Loja;Loja;Vilcabamba ;Izhcayluma;Hostería;3 estrellas;Planta turística;Ministerio de Turismo ;23;64;-4,277826;-79,224421
252;2019;Loja;Loja;Vilcabamba ;Paraíso 1;Hostería;3 estrellas;Planta turística;Ministerio de Turismo ;9;27;-4,255107;-79,3448
253;2019;Loja;Loja;Vilcabamba ;Le Rendez- Vous Guesthouse;Hostal;1 estrella;Planta turística;Ministerio de Turismo ;14;34;-4,261057;-79,220145
254;2019;Loja;Loja;Vilcabamba ;Molino Tropical;Hostería;3 estrellas;Planta turística;Ministerio de Turismo ;8;13;-4,277299;-79,223825
255;2019;Loja;Loja;Vilcabamba ;Ruinas de Quinara;Hostería;Segunda;Planta turística;Ministerio de Turismo ;47;67;-4,261377;-79,214954
256;2019;Loja;Loja;Vilcabamba ;Rumi Wilco;Refugio;Única;Planta turística;Ministerio de Turismo ;9;25;-4,258263;-79,216495
257;2019;Loja;Loja;Vilcabamba ;Villa Beatriz Lodge;Hostería;3 estrellas;Planta turística;Ministerio de Turismo ;9;27;-4,256704;-79,229375
258;2019;Loja;Loja;Vilcabamba ;Avalon BYB;Casa de huéspedes;ND;Planta turística;ND;3;5;-4,261913;-79,221025
259;2019;Loja;Loja;Vilcabamba ;Casa Amarilla;Apartamentos;ND;Planta turística;ND;5;9;-4,263027;-79,221607
